{'loss': '1.109', 'grad_norm': '47', 'learning_rate': '1.971e-05', 'epoch': '0.002048'}
{'loss': '1.529', 'grad_norm': '23', 'learning_rate': '1.97e-05', 'epoch': '0.002067'}
{'loss': '0.1739', 'grad_norm': '60', 'learning_rate': '1.969e-05', 'epoch': '0.002087'}
{'loss': '0.5503', 'grad_norm': '34.5', 'learning_rate': '1.968e-05', 'epoch': '0.002106'}
{'loss': '0.4618', 'grad_norm': '72', 'learning_rate': '1.967e-05', 'epoch': '0.002125'}
{'loss': '1.658', 'grad_norm': '24.88', 'learning_rate': '1.967e-05', 'epoch': '0.002145'}
{'loss': '1.403', 'grad_norm': '27.12', 'learning_rate': '1.966e-05', 'epoch': '0.002164'}
{'loss': '0.9189', 'grad_norm': '52', 'learning_rate': '1.965e-05', 'epoch': '0.002183'}
{'loss': '1.048', 'grad_norm': '19.12', 'learning_rate': '1.964e-05', 'epoch': '0.002202'}
{'loss': '0.7933', 'grad_norm': '24.88', 'learning_rate': '1.963e-05', 'epoch': '0.002222'}
{'loss': '1.982', 'grad_norm': '33.5', 'learning_rate': '1.962e-05', 'epoch': '0.002241'}
{'loss': '1.24', 'grad_norm': '21', 'learning_rate': '1.961e-05', 'epoch': '0.00226'}
{'loss': '0.7918', 'grad_norm': '25.62', 'learning_rate': '1.961e-05', 'epoch': '0.00228'}
{'loss': '0.4572', 'grad_norm': '37.5', 'learning_rate': '1.96e-05', 'epoch': '0.002299'}
{'loss': '1.278', 'grad_norm': '49.25', 'learning_rate': '1.959e-05', 'epoch': '0.002318'}
{'loss': '1.05', 'grad_norm': '17.88', 'learning_rate': '1.958e-05', 'epoch': '0.002338'}
{'loss': '0.5976', 'grad_norm': '14', 'learning_rate': '1.957e-05', 'epoch': '0.002357'}
{'loss': '2.308', 'grad_norm': '45.75', 'learning_rate': '1.956e-05', 'epoch': '0.002376'}
{'loss': '0.8341', 'grad_norm': '42.25', 'learning_rate': '1.955e-05', 'epoch': '0.002396'}
{'loss': '1.802', 'grad_norm': '17.5', 'learning_rate': '1.954e-05', 'epoch': '0.002415'}
{'loss': '2.01', 'grad_norm': '20.75', 'learning_rate': '1.953e-05', 'epoch': '0.002434'}
{'loss': '1.271', 'grad_norm': '111.5', 'learning_rate': '1.952e-05', 'epoch': '0.002454'}
{'loss': '0.9711', 'grad_norm': '71.5', 'learning_rate': '1.951e-05', 'epoch': '0.002473'}
{'loss': '1.889', 'grad_norm': '31', 'learning_rate': '1.95e-05', 'epoch': '0.002492'}
{'loss': '0.5903', 'grad_norm': '59.25', 'learning_rate': '1.949e-05', 'epoch': '0.002512'}
{'loss': '0.5159', 'grad_norm': '21', 'learning_rate': '1.948e-05', 'epoch': '0.002531'}
{'loss': '1.434', 'grad_norm': '24.25', 'learning_rate': '1.947e-05', 'epoch': '0.00255'}
{'loss': '2.512', 'grad_norm': '34', 'learning_rate': '1.946e-05', 'epoch': '0.00257'}
{'loss': '2.13', 'grad_norm': '53.75', 'learning_rate': '1.945e-05', 'epoch': '0.002589'}
{'loss': '0.00964', 'grad_norm': '4.656', 'learning_rate': '1.944e-05', 'epoch': '0.002608'}
{'loss': '0.2032', 'grad_norm': '31', 'learning_rate': '1.943e-05', 'epoch': '0.002628'}
{'loss': '2.008', 'grad_norm': '152', 'learning_rate': '1.942e-05', 'epoch': '0.002647'}
{'loss': '2.163', 'grad_norm': '30.12', 'learning_rate': '1.941e-05', 'epoch': '0.002666'}
{'loss': '1.523', 'grad_norm': '19.75', 'learning_rate': '1.939e-05', 'epoch': '0.002685'}
{'loss': '0.3103', 'grad_norm': '30.88', 'learning_rate': '1.938e-05', 'epoch': '0.002705'}
{'loss': '1.177', 'grad_norm': '36.25', 'learning_rate': '1.937e-05', 'epoch': '0.002724'}
{'loss': '1.96', 'grad_norm': '77', 'learning_rate': '1.936e-05', 'epoch': '0.002743'}
{'loss': '1.659', 'grad_norm': '18.5', 'learning_rate': '1.935e-05', 'epoch': '0.002763'}
{'loss': '1.515', 'grad_norm': '21.75', 'learning_rate': '1.934e-05', 'epoch': '0.002782'}
{'loss': '0.8815', 'grad_norm': '43', 'learning_rate': '1.933e-05', 'epoch': '0.002801'}
{'loss': '1.517', 'grad_norm': '19', 'learning_rate': '1.931e-05', 'epoch': '0.002821'}
{'loss': '1.403', 'grad_norm': '38.25', 'learning_rate': '1.93e-05', 'epoch': '0.00284'}
{'loss': '1.437', 'grad_norm': '16', 'learning_rate': '1.929e-05', 'epoch': '0.002859'}
{'loss': '2.149', 'grad_norm': '29', 'learning_rate': '1.928e-05', 'epoch': '0.002879'}
{'loss': '0.6836', 'grad_norm': '11.19', 'learning_rate': '1.927e-05', 'epoch': '0.002898'}
{'loss': '1.278', 'grad_norm': '25.5', 'learning_rate': '1.925e-05', 'epoch': '0.002917'}
{'loss': '1.718', 'grad_norm': '17.25', 'learning_rate': '1.924e-05', 'epoch': '0.002937'}
{'loss': '1.585', 'grad_norm': '21', 'learning_rate': '1.923e-05', 'epoch': '0.002956'}
{'loss': '0.4702', 'grad_norm': '30.38', 'learning_rate': '1.922e-05', 'epoch': '0.002975'}
{'loss': '1.873', 'grad_norm': '47.75', 'learning_rate': '1.92e-05', 'epoch': '0.002995'}
{'loss': '1.257', 'grad_norm': '17.25', 'learning_rate': '1.919e-05', 'epoch': '0.003014'}
{'loss': '2.794', 'grad_norm': '145', 'learning_rate': '1.918e-05', 'epoch': '0.003033'}
{'loss': '1.606', 'grad_norm': '45', 'learning_rate': '1.917e-05', 'epoch': '0.003053'}
{'loss': '1.616', 'grad_norm': '21.75', 'learning_rate': '1.915e-05', 'epoch': '0.003072'}
{'loss': '1.652', 'grad_norm': '48.75', 'learning_rate': '1.914e-05', 'epoch': '0.003091'}
{'loss': '1.906', 'grad_norm': '48.5', 'learning_rate': '1.913e-05', 'epoch': '0.003111'}
{'loss': '0.4193', 'grad_norm': '56.5', 'learning_rate': '1.911e-05', 'epoch': '0.00313'}
{'loss': '0.5071', 'grad_norm': '99', 'learning_rate': '1.91e-05', 'epoch': '0.003149'}
{'loss': '1.76', 'grad_norm': '23.5', 'learning_rate': '1.909e-05', 'epoch': '0.003168'}
{'loss': '1.804', 'grad_norm': '24.38', 'learning_rate': '1.907e-05', 'epoch': '0.003188'}
{'loss': '1.987', 'grad_norm': '66', 'learning_rate': '1.906e-05', 'epoch': '0.003207'}
{'loss': '0.8066', 'grad_norm': '42.5', 'learning_rate': '1.905e-05', 'epoch': '0.003226'}
{'loss': '1.512', 'grad_norm': '24.12', 'learning_rate': '1.903e-05', 'epoch': '0.003246'}
{'loss': '1.592', 'grad_norm': '25.5', 'learning_rate': '1.902e-05', 'epoch': '0.003265'}
{'loss': '0.9238', 'grad_norm': '78', 'learning_rate': '1.9e-05', 'epoch': '0.003284'}
{'loss': '1.225', 'grad_norm': '25.25', 'learning_rate': '1.899e-05', 'epoch': '0.003304'}
{'loss': '2.181', 'grad_norm': '19.12', 'learning_rate': '1.898e-05', 'epoch': '0.003323'}
{'loss': '0.1665', 'grad_norm': '23.75', 'learning_rate': '1.896e-05', 'epoch': '0.003342'}
{'loss': '1.336', 'grad_norm': '18.88', 'learning_rate': '1.895e-05', 'epoch': '0.003362'}
{'loss': '0.7168', 'grad_norm': '13.44', 'learning_rate': '1.893e-05', 'epoch': '0.003381'}
{'loss': '0.924', 'grad_norm': '35.75', 'learning_rate': '1.892e-05', 'epoch': '0.0034'}
{'loss': '1.106', 'grad_norm': '18.75', 'learning_rate': '1.89e-05', 'epoch': '0.00342'}
{'loss': '1.846', 'grad_norm': '17.75', 'learning_rate': '1.889e-05', 'epoch': '0.003439'}
{'loss': '1.617', 'grad_norm': '53.25', 'learning_rate': '1.887e-05', 'epoch': '0.003458'}
{'loss': '2.87', 'grad_norm': '54.5', 'learning_rate': '1.886e-05', 'epoch': '0.003478'}
{'loss': '1.421', 'grad_norm': '48.5', 'learning_rate': '1.884e-05', 'epoch': '0.003497'}
{'loss': '1.619', 'grad_norm': '25.12', 'learning_rate': '1.883e-05', 'epoch': '0.003516'}
{'loss': '1.942', 'grad_norm': '33', 'learning_rate': '1.881e-05', 'epoch': '0.003536'}
{'loss': '1.248', 'grad_norm': '15.38', 'learning_rate': '1.88e-05', 'epoch': '0.003555'}
{'loss': '3.408', 'grad_norm': '221', 'learning_rate': '1.878e-05', 'epoch': '0.003574'}
{'loss': '1.402', 'grad_norm': '16.88', 'learning_rate': '1.877e-05', 'epoch': '0.003594'}
{'loss': '1.721', 'grad_norm': '15.62', 'learning_rate': '1.875e-05', 'epoch': '0.003613'}
{'loss': '1.396', 'grad_norm': '20.38', 'learning_rate': '1.873e-05', 'epoch': '0.003632'}
{'loss': '0.4094', 'grad_norm': '20.88', 'learning_rate': '1.872e-05', 'epoch': '0.003651'}
{'loss': '0.1918', 'grad_norm': '15.62', 'learning_rate': '1.87e-05', 'epoch': '0.003671'}
{'loss': '1.54', 'grad_norm': '15.75', 'learning_rate': '1.869e-05', 'epoch': '0.00369'}
{'loss': '1.44', 'grad_norm': '20', 'learning_rate': '1.867e-05', 'epoch': '0.003709'}
{'loss': '1.381', 'grad_norm': '23.5', 'learning_rate': '1.865e-05', 'epoch': '0.003729'}
{'loss': '0.6043', 'grad_norm': '13.44', 'learning_rate': '1.864e-05', 'epoch': '0.003748'}
{'loss': '1.297', 'grad_norm': '24.5', 'learning_rate': '1.862e-05', 'epoch': '0.003767'}
{'loss': '2.022', 'grad_norm': '32.5', 'learning_rate': '1.861e-05', 'epoch': '0.003787'}
{'loss': '1.639', 'grad_norm': '28.12', 'learning_rate': '1.859e-05', 'epoch': '0.003806'}
{'loss': '0.9961', 'grad_norm': '31.62', 'learning_rate': '1.857e-05', 'epoch': '0.003825'}
{'loss': '1.905', 'grad_norm': '51.25', 'learning_rate': '1.856e-05', 'epoch': '0.003845'}
{'loss': '1.58', 'grad_norm': '16', 'learning_rate': '1.854e-05', 'epoch': '0.003864'}
{'loss': '1.603', 'grad_norm': '18.12', 'learning_rate': '1.852e-05', 'epoch': '0.003883'}
{'loss': '1.716', 'grad_norm': '16.75', 'learning_rate': '1.851e-05', 'epoch': '0.003903'}
{'loss': '1.497', 'grad_norm': '62.25', 'learning_rate': '1.849e-05', 'epoch': '0.003922'}
{'loss': '1.617', 'grad_norm': '17.88', 'learning_rate': '1.847e-05', 'epoch': '0.003941'}
{'loss': '2.063', 'grad_norm': '59.5', 'learning_rate': '1.845e-05', 'epoch': '0.003961'}
